REGN_DT,num_records,num_unique_patients,avg_gender,avg_age,avg_viral_load,avg_alt_level,avg_viral_load_log
2018-10-31,5,5,1.4,36.8,7824.56,30.3,8.663123507952223
2018-11-30,7,7,1.1428571428571428,32.0,21497.414285714283,42.714285714285715,9.852910358044682
2018-12-31,3,3,1.0,25.333333333333332,11338.066666666666,44.03333333333334,8.849150760158421
2019-01-31,3,3,1.0,35.333333333333336,11626.4,33.1,8.25954308103844
2019-02-28,2,2,1.5,47.0,20857.75,41.05,9.927219634531665
2019-03-31,0,0,,,,,
2019-04-30,2,2,1.0,28.5,11072.949999999999,30.05,8.194956355247532
2019-05-31,8,8,1.5,28.75,13034.4625,46.3,9.020370483701363
2019-06-30,6,6,1.3333333333333333,27.833333333333332,18249.899999999998,42.18333333333333,9.525220923575231
2019-07-31,13,13,1.5384615384615385,36.0,18631.36153846154,46.8,9.750151067015715
2019-08-31,6,6,1.0,40.0,9056.933333333332,45.53333333333333,8.866226505582494
2019-09-30,5,5,1.4,39.2,16328.720000000001,47.64,9.264243718766073
2019-10-31,5,5,1.4,36.2,11952.36,29.22,9.311646113335726
2019-11-30,4,4,1.25,29.0,14772.275000000001,47.55,9.554832913704267
2019-12-31,3,3,1.3333333333333333,21.333333333333332,13403.233333333332,43.199999999999996,9.460351310254916
2020-01-31,13,10,1.2307692307692308,39.84615384615385,1877.6384615384618,27.646153846153844,7.0356954107300425
2020-02-29,9,7,1.3333333333333333,37.44444444444444,5457.355555555556,42.06666666666667,7.965295800594962
2020-03-31,11,10,1.4545454545454546,32.45454545454545,8588.063636363637,43.50909090909091,8.479437080675735
2020-04-30,2,2,1.0,27.5,9027.35,58.05,7.675616270692849
2020-05-31,3,2,1.6666666666666667,19.666666666666668,7292.266666666667,33.233333333333334,8.83401057505615
2020-06-30,3,3,1.0,31.666666666666668,2800.5,81.66666666666667,7.555531866785219
2020-07-31,6,3,1.0,31.666666666666668,7769.75,62.5,8.516099607900381
2020-08-31,2,2,1.5,45.0,769.6,52.85,6.279770439231265
2020-09-30,9,9,1.6666666666666667,45.22222222222222,9499.155555555555,36.422222222222224,8.187046980670553
2020-10-31,3,3,1.0,29.0,1676.9333333333332,59.46666666666667,7.300507101324334
2020-11-30,1,1,2.0,26.0,5091.4,57.3,8.53550451118749
2020-12-31,4,4,1.25,34.0,9618.85,51.575,9.094645714335027
2021-01-31,3,3,1.3333333333333333,37.666666666666664,7633.533333333333,33.733333333333334,8.390219190397273
2021-02-28,1,1,2.0,26.0,1063.3,20.4,6.9700725850469984
2021-03-31,3,3,1.0,45.0,5638.433333333333,33.13333333333333,7.62923831730551
2021-04-30,7,5,1.4285714285714286,46.857142857142854,17199.02857142857,36.57142857142857,9.60023722873522
2021-05-31,5,5,1.6,53.4,9176.86,52.279999999999994,8.358868505808974
2021-06-30,4,4,1.0,35.0,4686.075,36.425,8.281214800994963
2021-07-31,7,6,1.0,42.857142857142854,10039.414285714285,54.05714285714286,8.231119009681091
2021-08-31,4,4,1.0,39.75,15969.075,47.95,9.580237136473436
2021-09-30,2,2,1.0,43.5,15415.2,84.4,9.593413934407776
2021-10-31,8,7,1.125,50.625,10440.95,34.2375,8.352548740337227
2021-11-30,13,10,1.1538461538461537,46.46153846153846,11010.946153846153,52.70769230769231,8.760517191226844
2021-12-31,8,8,1.375,35.125,7180.8,33.0,8.231684411485949
2022-01-31,10,10,1.3,37.9,4910.8,35.43,7.882405897348008
2022-02-28,18,16,1.3333333333333333,38.833333333333336,10565.438888888888,47.00555555555556,8.553463457949123
2022-03-31,15,13,1.4,34.2,6847.346666666666,43.080000000000005,8.082326902125022
2022-04-30,16,16,1.5,39.5625,9926.78125,42.8875,8.46325332973444
2022-05-31,17,15,1.2352941176470589,33.05882352941177,5716.058823529412,32.27058823529412,7.472359944477027
2022-06-30,8,8,1.5,28.75,9772.0625,37.4,9.039140351488573
2022-07-31,9,9,1.1111111111111112,35.333333333333336,9275.78888888889,38.22222222222222,8.68206293536448
2022-08-31,10,10,1.5,45.0,10435.869999999999,29.889999999999997,8.820608371217753
2022-09-30,12,12,1.75,40.666666666666664,8761.758333333333,40.85,8.493831569462136
2022-10-31,9,8,1.6666666666666667,24.0,6212.611111111111,34.28888888888889,8.082376799387147
2022-11-30,15,15,1.6666666666666667,41.6,5377.1,37.126666666666665,8.210132428534804
2022-12-31,20,17,1.15,42.35,6040.6849999999995,36.745,8.238653989208874
2023-01-31,12,11,1.3333333333333333,34.583333333333336,9514.008333333333,31.283333333333335,8.469177328374002
2023-02-28,18,17,1.4444444444444444,39.72222222222222,10741.594444444445,45.65555555555555,8.578211107715537
2023-03-31,24,19,1.3333333333333333,40.75,4981.075,33.475,7.9058190898188885
2023-04-30,18,17,1.3888888888888888,43.05555555555556,7792.911111111111,43.33888888888889,8.46375675015127
2023-05-31,27,26,1.2592592592592593,40.851851851851855,8539.551851851851,40.07037037037038,8.472115647606985
2023-06-30,47,45,1.3404255319148937,43.42553191489362,7236.468085106383,41.1,8.314294856837249
2023-07-31,51,48,1.2941176470588236,44.09803921568628,9900.698039215686,39.694117647058825,8.68262238317766
